Zone,Site,Lab Number,Phase,Context,Material,Age BP,Error,Source,Region,Comments
Atlantic CR,4-IT,I-8913,Madera,Tomb 3B Vessel,Charcoal,1010,90,Snarskis 1978,Lower Central America,""
Atlantic CR,4-IT,I-8914,Madera,Feature 4 Lens,Charcoal,840,195,Snarskis 1978,Lower Central America,""
Atlantic CR,Capuchina,A-13654,?,?,?,795,60,Hurtado de Mendoza 2016,Lower Central America,""
Atlantic CR,Guayabo de Turrialba,AGUILAR-1,Early Period,?,?,997,241,Aguilar 1972 in Snarskis 1978,Lower Central America,""
Atlantic CR,Jabillo,B-325233,?,ETM2M02ESC8N6,?,1560,30,Chavez Montoya 2016,Lower Central America,Part of an intrusive pit with Integration I-period ceramics
Atlantic CR,Juka,B-431561,La Selva,Op 5/111 RF16 Nivel 10,Carbon,1600,30,Hernandez Ruiz et al. 2018,Lower Central America,""
Atlantic CR,Juka,B-431562,El Bosque,Op 5/111 RF4 Nivel 9,Carbon,1620,30,Hernandez Ruiz et al. 2018,Lower Central America,""
Atlantic CR,Juka,B-431563,El Bosque,Op 5/111 RF6 Nivel 10,Carbon,1650,30,Hernandez Ruiz et al. 2018,Lower Central America,""
Atlantic CR,Juka,B-361130,La Cabaña,Pozo 103 Cuadro 102L1 Nivel 8,Carbon Vegetal,836,29,Salazar Jimenez 2016,Lower Central America,""
Atlantic CR,Juka,B-361131,La Cabaña,Pozo 103 Cuadro 102L5 Nivel 7,Carbon Vegetal,855,29,Salazar Jimenez 2016,Lower Central America,""
Atlantic CR,Juka,B-361132,La Cabaña,Pozo 103 Cuadro 102N1 Nivel 9,Carbon Vegetal,894,29,Salazar Jimenez 2016,Lower Central America,""
Atlantic CR,Kualklo,B-319144,?,?,Carbon Vegetal,270,30,Hurtado de Mendoza 2016,Lower Central America,""
Atlantic CR,La Cascada,B-361126,Cacical I,Cuadro 10A2 Nivel 4,Carbon Vegetal,1487,29,"Salazar Jimenez 2016, But conflicts with Salazar Jimenez 2020. Fixed if we assume she rounded to the nearest decade and originally reported in 5730 half life",Lower Central America,""
Atlantic CR,La Chonta,GRN-19773,?,"Soil core, 237-240cm",?,4920,270,Islebe et al. 1996,Lower Central America,""
Atlantic CR,La Chonta,GRN-19775,?,"Soil core, 332-334cm",?,5350,390,Islebe et al. 1996,Lower Central America,""
Atlantic CR,La Chonta,GRN-17774,?,"Soil core, 260-263cm",?,5800,280,Islebe et al. 1996,Lower Central America,""
Atlantic CR,La Maquina,SI-1438,?,?,?,600,190,Stirling and Pugh 1997 in Hurtado de Mendoza 2016,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113E,La Selva,Burial in Unit 7 of Cemetery,Charcoal,1310,60,Snarskis 1978,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113C,La Selva,Burial in Unit 8 of Cemetery,Charcoal,1730,60,Snarskis 1978,Lower Central America,""
Atlantic CR,La Selva,B-38149,?,Soil Charcoal from paleosol core,Soil charcoal,2410,220,Horn and Sanford 1992 in Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,B-38150,?,Soil Charcoal from paleosol core,Soil charcoal,2430,80,Clement and Horn 2001,Lower Central America,""
Atlantic CR,La Selva,B-38148,?,Soil Charcoal from paleosol core,Soil charcoal,2430,80,Horn and Sanford 1992 in Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,HORN-1,?,Soil Charcoal from paleosol core,Soil charcoal,2540,60,Horn and Kennedy 2001 in Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,SANFORD-2,?,Soil Charcoal from paleosol core,Soil charcoal,2590,40,Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,SANFORD-5,?,Soil Charcoal from paleosol core,Soil charcoal,2870,40,Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,SANFORD-3,?,Soil Charcoal from paleosol core,Soil charcoal,3020,40,Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,SANFORD-4,?,Soil Charcoal from paleosol core,Soil charcoal,3090,40,Titz and Sanford 2007,Lower Central America,""
Atlantic CR,La Selva,SANFORD-6,?,Soil Charcoal from paleosol core,Soil charcoal,3130,40,Titz and Sanford 2007,Lower Central America,""
Atlantic CR,Lago de las Morrenas,B-30432,?,Soil Charcoal from paleosol core,Soil charcoal,3100,90,Horn 1993,Lower Central America,""
Atlantic CR,Lago de las Morrenas,AA-52070,?,Soil Charcoal from paleosol core,Soil charcoal,3397,34,Lane et al. 2011,Lower Central America,""
Atlantic CR,Lago de las Morrenas,B-204700,?,"Soil core 4, 61cm",Charcoal,4030,40,Watson 2011,Lower Central America,""
Atlantic CR,Lago de las Morrenas,B-30433,?,Soil Charcoal from paleosol core,Soil charcoal,4250,90,Horn 1993,Lower Central America,""
Atlantic CR,Lago de las Morrenas,AA-52071,?,Soil Charcoal from paleosol core,Soil charcoal,4511,37,Lane et al. 2011,Lower Central America,""
Atlantic CR,Lago de las Morrenas,B-125064,?,"Soil core 4, 75.5cm",Peat,5460,60,Watson 2011,Lower Central America,""
Atlantic CR,Lago de las Morrenas,AA-52072,?,Soil Charcoal from paleosol core,Soil charcoal,5611,38,Lane et al. 2011,Lower Central America,""
Atlantic CR,Lago de las Morrenas,AA-52072,?,Soil Charcoal from paleosol core,Soil charcoal,6444,40,Lane et al. 2011,Lower Central America,""
